iter	Passed	Remaining
0	0	87
1	1	77
2	2	71
3	2	64
4	3	64
5	4	63
6	4	61
7	5	60
8	6	61
9	6	60
10	7	60
11	8	64
12	9	63
13	10	61
14	10	60
15	12	66
16	13	65
17	14	66
18	15	67
19	16	65
20	17	63
21	17	62
22	18	60
23	18	59
24	19	57
25	19	55
26	20	54
27	20	53
28	21	52
29	21	50
30	22	49
31	23	49
32	25	50
33	25	49
34	26	48
35	26	47
36	27	46
37	27	45
38	28	44
39	28	43
40	29	42
41	29	40
42	30	39
43	30	38
44	31	37
45	31	37
46	32	36
47	33	35
48	34	35
49	34	34
50	35	34
51	35	33
52	36	32
53	36	31
54	37	30
55	37	29
56	38	28
57	38	28
58	39	27
59	39	26
60	40	25
61	40	25
62	41	24
63	43	24
64	44	24
65	45	23
66	45	22
67	46	21
68	46	21
69	47	20
70	47	19
71	48	18
72	48	18
73	49	17
74	50	16
75	50	16
76	51	15
77	52	14
78	53	14
79	53	13
80	53	12
81	54	11
82	54	11
83	55	10
84	55	9
85	56	9
86	57	8
87	58	7
88	58	7
89	59	6
90	59	5
91	60	5
92	60	4
93	61	3
94	61	3
95	62	2
96	62	1
97	63	1
98	63	0
99	64	0
